target_id,prediction,probabilidade
drugbank_target|P19113,0,0.22385254010134895
drugbank_target|P35228,1,0.29706704815887836
drugbank_target|P37059,0,0.19391761654935286
drugbank_target|P06737,1,0.3168761229292784
drugbank_target|P50213,0,0.25223262663660606
drugbank_target|Q9P0X4,0,0.12375218354221527
drugbank_target|P30542,0,0.10209013933271655
drugbank_target|P00519,1,0.3920366445910403
drugbank_target|P23219,0,0.21616923773848956
drugbank_target|P12461,1,0.3125064027022114
drugbank_target|P35916,0,0.22019907188524104
drugbank_target|P02452,1,0.4456736415384445
drugbank_target|Q9H4B7,0,0.24871772224240965
drugbank_target|P17948,1,0.3098187999089728
drugbank_target|Q9UPY5,0,0.1156117038186047
drugbank_target|P06213,0,0.22967075769659306
drugbank_target|P04049,1,0.3497895968967766
drugbank_target|P24530,0,0.17532686994089516
drugbank_target|P20309,0,0.22953117338207527
drugbank_target|P00734,1,0.3479662000203968
drugbank_target|P14780,0,0.26043259983397193
drugbank_target|P21554,0,0.16956776152381922
drugbank_target|P11836,0,0.13740500730333102
drugbank_target|P07195,0,0.27738100842589175
drugbank_target|P24752,1,0.2958812458767862
drugbank_target|Q07869,0,0.20456486549753142
drugbank_target|P10912,0,0.24497863668926712
drugbank_target|P00492,1,0.33961728808699715
drugbank_target|P28702,1,0.31331755040274345
drugbank_target|P31358,0,0.08074680270014531
drugbank_target|Q13639,0,0.1269953035379714
drugbank_target|P42357,0,0.2652569720449104
drugbank_target|P14618,1,0.38301013558825203
drugbank_target|Q12809,0,0.2312426498202915
drugbank_target|Q969P6,1,0.5376132986051022
drugbank_target|P11229,0,0.2592671071307805
drugbank_target|P34972,0,0.1672660131786665
drugbank_target|P35610,0,0.15677032898865534
drugbank_target|P13688,1,0.32253319444116535
drugbank_target|P06746,1,0.5672115623306125
drugbank_target|P06864,0,0.2785196940214462
drugbank_target|Q05940,0,0.07704176636568488
drugbank_target|P03372,1,0.35131532615572536
drugbank_target|P08700,0,0.27641201727385356
drugbank_target|P69905,1,0.44137936314965204
drugbank_target|P80365,0,0.18547200726430246
drugbank_target|P10275,0,0.24394510394346555
drugbank_target|P22888,0,0.1981635191317031
drugbank_target|P49419,1,0.2960181080455178
drugbank_target|Q8WY07,0,0.0823091520629569
drugbank_target|P35498,0,0.13386860853996552
drugbank_target|P07437,0,0.27832684588753875
drugbank_target|P13631,1,0.30599232709281227
drugbank_target|P36888,0,0.18258516025810215
drugbank_target|P51649,0,0.2653748055869741
drugbank_target|Q9NYK1,0,0.2743288819054491
drugbank_target|Q99720,0,0.1590342452169874
drugbank_target|Q02218,0,0.26046217341839967
drugbank_target|P15692,1,0.5078886112505251
drugbank_target|P37288,0,0.21000904858780248
drugbank_target|P49916,1,0.41963687452282994
drugbank_target|P08588,0,0.1562982284289607
drugbank_target|O76074,1,0.2982545234968823
drugbank_target|P20273,0,0.28286050020815334
drugbank_target|P48637,0,0.2106146468122242
drugbank_target|P9WGY7,1,0.33991278336339925
drugbank_target|P45381,0,0.26869126043877994
drugbank_target|P14061,0,0.20674702828990038
drugbank_target|Q14524,0,0.12398676329421149
drugbank_target|P18858,1,0.319131382521885
drugbank_target|P30968,0,0.18847331331853676
drugbank_target|P09619,0,0.17983005203908337
drugbank_target|P10826,1,0.2995036383794819
drugbank_target|P08185,0,0.187864507408301
drugbank_target|P37231,0,0.23783755968366627
drugbank_target|P00742,1,0.37422248286848603
drugbank_target|P16083,0,0.2518377781276161
drugbank_target|P55157,1,0.3014546621958416
drugbank_target|P10613,0,0.2483930563816949
drugbank_target|Q15758,0,0.09491367175361506
drugbank_target|P20061,0,0.2637526502549766
drugbank_target|P06858,1,0.3355688311785493
drugbank_target|P10109,0,0.29425056676406297
drugbank_target|P10415,0,0.2015492219649276
drugbank_target|P08912,0,0.2816284129138539
drugbank_target|P09917,0,0.23058527751378285
drugbank_target|P00491,1,0.3059097817659986
drugbank_target|P14679,0,0.19279068805100585
drugbank_target|P80404,1,0.3163143643082876
drugbank_target|Q9Y478,1,0.3437495539828366
drugbank_target|O76054,1,0.34963732978722784
drugbank_target|P35354,0,0.2869653642545138
drugbank_target|Q04771,0,0.27027281279962445
drugbank_target|P00915,1,0.4599476063597825
drugbank_target|P14207,1,0.3053077418471195
drugbank_target|P07766,1,0.3825737423952428
drugbank_target|P01008,0,0.28838468285913066
drugbank_target|Q99624,0,0.0992835704091996
drugbank_target|P08913,0,0.24469359374864544
drugbank_target|Q5T1J1,0,0.22334023823648375
drugbank_target|P08908,0,0.2368353115709244
drugbank_target|P34897,1,0.36366372681625864
